sample_id,longitude,latitude
K0158B2,-118.458631,33.965453
K0158C1,-118.459871,33.96516
K0159A1,-120.22824,34.470731
K0159A2,-120.227316,34.470701
K0159B1,-120.228455,34.471177
K0159B2,-120.225649,34.470872
K0159C1,-120.226773,34.471508
K0159C2,-120.226562,34.471085
K0160A2,-121.085722,35.533892
K0160B1,-121.084868,35.533861
K0161A1,-123.069168,38.316372
K0161A2,-123.070591,38.317084
K0161B1,-123.06863,38.316489
K0161B2,-123.069872,38.317549
K0161C1,-123.060862,38.311174
K0161C2,-123.060896,38.313085
K0162A1,-123.79073,39.27192
K0162A2,-123.79338,39.27412
K0162B1,-123.7905,39.27235
K0162B2,-123.7933,39.27457
K0162C1,-123.79122,39.27409
K0162C2,-123.7911,39.27419
K0166A1,-117.275115,32.992665
K0166A2,-117.275675,32.995359
K0166B2,-117.278305,33.000836
K0166C2,-117.281737,33.014913
K0172A1,-121.868579,36.604926
K0172A2,-121.869408,36.604735
K0172B1,-121.868871,36.605398
K0173A2,-121.941219,36.618215
K0173B1,-121.941715,36.618911
K0174A1,-120.862533,35.355817
K0174A2,-120.862533,35.355817
K0174B1,-120.857967,35.357567
K0174B2,-120.857967,35.357567
K0174C1,-120.856983,35.357233
K0175A1,-120.862333,35.359383
K0175A2,-120.862333,35.359383
K0175B1,-120.854517,35.358383
K0175B2,-120.854517,35.358383
K0175C1,-120.8641,35.358517
K0177A1,-119.527043,34.395369
K0177A2,-119.536523,34.404162
K0177B1,-119.538429,34.398696
K0177B2,-119.536692,34.397389
K0177C1,-119.537605,34.398504
K0177C2,-119.53472,34.397946
K0179A1,-118.682188,34.031124
K0179B1,-118.681422,34.032679
K0179C2,-118.684989,34.03249
K0193A1,-122.714624,41.086978
K0193A2,-122.714761,41.087176
K0193B1,-122.714252,41.087865
K0193B2,-122.714324,41.088279
K0193C1,-122.712937,41.084234
K0193C2,-122.71199,41.083989
K0194A1,-124.113931,41.027953
K0194A2,-124.11461,41.02604
K0194B1,-124.11153,41.0271
K0194B2,-124.1125,41.02595
K0194C1,-124.10936,41.02727
K0194C2,-124.10984,41.02557
K0196A1,-124.132493,40.939864
K0196B1,-124.131644,40.940622
K0196C2,-124.130462,40.941474
K0197A1,-117.285823,33.967275
K0197A2,-117.284954,33.966178
K0197B1,-117.295955,33.971831
K0197B2,-117.295643,33.973542
K0197C1,-117.296337,33.973756
K0209A1,-121.421922,36.092693
K0209B1,-121.422941,36.092955
K0209C1,-121.430085,36.092879
K0209C2,-121.430357,36.092945
K0210A2,-117.25972,33.806984
K0210B1,-117.255951,33.805622
K0210B2,-117.257532,33.804627
K0210C1,-117.255852,33.805226
K0210C2,-117.257313,33.803416
K0212B1,-118.287274,33.706373
K0212C2,-118.286268,33.706327
K0213C1,-118.287011,33.706235
K0214B1,-118.28551,33.707549
K0217A1,-118.285205,33.707877
K0217B1,-118.285538,33.707376
K0217C2,-118.285849,33.706917
K0218A1,-118.287767,33.70572
K0219A2,-118.281068,33.708922
K0219B2,-118.282428,33.708909
K0219C1,-118.283561,33.708861
